#{"t_start": 1649682621.0002048, "env_id": "Reacher-v2"}
r,l,t
-48.557357,50,60.729719
-45.363511,50,60.78003
-40.862649,50,60.830317
-36.293585,50,60.881346
-36.897488,50,60.931822
-44.198608,50,60.984531
-33.577756,50,61.035079
-51.052346,50,61.08516
-48.490304,50,61.135424
-37.120102,50,61.186254
-36.725855,50,61.23699
-37.63328,50,61.287977
-35.670421,50,61.338691
-33.893203,50,61.389081
-40.952347,50,61.4395
-42.507775,50,61.490861
-39.980987,50,61.541546
-62.033654,50,61.591638
-32.91298,50,61.641594
-38.518486,50,61.692094
-35.677132,50,61.74227
-50.452027,50,61.791849
-34.031354,50,61.843253
-52.590557,50,61.893534
-39.940049,50,61.943651
-41.305585,50,61.994374
-34.751139,50,62.04466
-37.632442,50,62.09592
-41.619659,50,62.146128
-36.531952,50,62.198875
-38.779032,50,62.245631
-36.999839,50,62.292383
-31.469715,50,62.339335
-37.396914,50,62.386152
-38.729524,50,63.837518
-33.804276,50,63.887214
-28.479486,50,63.937692
-36.691284,50,63.988436
-34.057152,50,64.038662
-38.894465,50,64.088564
-41.334571,50,64.138943
-46.79903,50,64.190131
-39.33236,50,64.240152
-36.152392,50,64.290292
-35.938422,50,64.339952
-46.031692,50,64.390354
-43.679821,50,64.441397
-42.69029,50,64.491038
-39.275243,50,64.543456
-38.732262,50,64.594184
-34.888433,50,64.643914
-41.329135,50,64.694874
-41.153083,50,64.74554
-44.561578,50,64.796
-35.000714,50,64.846495
-32.482678,50,64.895606
-36.900522,50,64.945229
-33.365217,50,64.995138
-39.518393,50,65.045517
-46.300443,50,65.094874
-28.205274,50,65.14449
-38.982448,50,65.194029
-40.924316,50,65.262798
-28.367963,50,65.312522
-29.973245,50,65.362441
-31.183632,50,65.412104
-44.033584,50,65.461777
-31.148117,50,65.511896
-38.329837,50,65.561716
-39.361738,50,65.611396
-38.358568,50,65.660945
-30.476261,50,65.710799
-28.479549,50,65.761044
-34.497213,50,65.810682
-27.140577,50,65.860508
-45.07625,50,67.275923
-28.940119,50,67.325963
-39.173265,50,67.375932
-28.569724,50,67.426268
-34.884105,50,67.475171
-31.277277,50,67.526007
-25.996569,50,67.577349
-51.417253,50,67.627681
-46.144314,50,67.678258
-29.065396,50,67.729238
-26.935112,50,67.779663
-34.604724,50,67.830295
-32.194151,50,67.880804
-36.465768,50,67.931625
-37.096804,50,67.981937
-47.153077,50,68.03267
